id,depth,geometry
36.0,1.0,"POLYGON ((754.5584412271571 598.9949493661167, 747.4873734152916 591.9238815542512, 754.5584412271571 584.8528137423857, 761.6295090390227 591.9238815542512, 754.5584412271571 598.9949493661167))"
37.0,1.0,"POLYGON ((761.6295090390227 591.9238815542512, 754.5584412271571 584.8528137423857, 761.6295090390227 577.7817459305202, 768.7005768508881 584.8528137423857, 761.6295090390227 591.9238815542512))"
38.0,1.0,"POLYGON ((768.7005768508881 584.8528137423857, 761.6295090390227 577.7817459305202, 768.700576850888 570.7106781186546, 775.7716446627535 577.7817459305202, 768.7005768508881 584.8528137423857))"
39.0,1.0,"POLYGON ((775.7716446627535 577.7817459305202, 768.700576850888 570.7106781186546, 775.7716446627535 563.6396103067893, 782.842712474619 570.7106781186548, 775.7716446627535 577.7817459305202))"
40.0,1.0,"POLYGON ((782.842712474619 570.7106781186548, 775.7716446627535 563.6396103067893, 782.842712474619 556.5685424949238, 789.9137802864846 563.6396103067893, 782.842712474619 570.7106781186548))"
41.0,1.0,"POLYGON ((789.9137802864846 563.6396103067893, 782.842712474619 556.5685424949238, 789.9137802864846 549.4974746830583, 796.98484809835 556.5685424949238, 789.9137802864846 563.6396103067893))"
42.0,1.0,"POLYGON ((796.98484809835 556.5685424949238, 789.9137802864846 549.4974746830583, 796.9848480983499 542.4264068711927, 804.0559159102154 549.4974746830583, 796.98484809835 556.5685424949238))"
43.0,1.0,"POLYGON ((804.0559159102154 549.4974746830583, 796.9848480983499 542.4264068711927, 804.0559159102154 535.3553390593274, 811.1269837220809 542.4264068711929, 804.0559159102154 549.4974746830583))"
44.0,0.976943787272873,"POLYGON ((811.1269837220809 542.4264068711929, 804.0559159102154 535.3553390593274, 811.1269837220809 528.2842712474619, 818.1980515339465 535.3553390593274, 811.1269837220809 542.4264068711929))"
45.0,0.9556126511851185,"POLYGON ((818.1980515339465 535.3553390593274, 811.1269837220809 528.2842712474619, 818.1980515339465 521.2132034355964, 825.2691193458119 528.2842712474619, 818.1980515339465 535.3553390593274))"
46.0,0.9863434789624488,"POLYGON ((825.2691193458119 528.2842712474619, 818.1980515339465 521.2132034355964, 825.2691193458118 514.1421356237308, 832.3401871576773 521.2132034355964, 825.2691193458119 528.2842712474619))"
47.0,1.0,"POLYGON ((832.3401871576773 521.2132034355964, 825.2691193458118 514.1421356237308, 832.3401871576773 507.0710678118655, 839.4112549695428 514.142135623731, 832.3401871576773 521.2132034355964))"
48.0,1.0,"POLYGON ((839.4112549695428 514.142135623731, 832.3401871576773 507.0710678118655, 839.4112549695428 500, 846.4823227814084 507.0710678118655, 839.4112549695428 514.142135623731))"
49.0,1.0,"POLYGON ((846.4823227814084 507.0710678118655, 839.4112549695428 500, 846.4823227814084 492.9289321881345, 853.5533905932738 500, 846.4823227814084 507.0710678118655))"
50.0,1.0,"POLYGON ((492.9289321881345 846.4823227814084, 485.85786437626905 839.4112549695428, 492.9289321881345 832.3401871576774, 500 839.4112549695428, 492.9289321881345 846.4823227814084))"
51.0,1.0,"POLYGON ((500 839.4112549695428, 492.9289321881345 832.3401871576774, 500 825.2691193458119, 507.0710678118655 832.3401871576773, 500 839.4112549695428))"
52.0,1.0,"POLYGON ((507.0710678118655 832.3401871576773, 500 825.2691193458119, 507.0710678118654 818.1980515339463, 514.1421356237308 825.2691193458118, 507.0710678118655 832.3401871576773))"
53.0,1.0,"POLYGON ((514.1421356237308 825.2691193458118, 507.0710678118654 818.1980515339463, 514.142135623731 811.1269837220809, 521.2132034355964 818.1980515339465, 514.1421356237308 825.2691193458118))"
54.0,1.0,"POLYGON ((521.2132034355964 818.1980515339465, 514.142135623731 811.1269837220809, 521.2132034355965 804.0559159102155, 528.2842712474619 811.1269837220809, 521.2132034355964 818.1980515339465))"
55.0,1.0,"POLYGON ((528.2842712474619 811.1269837220809, 521.2132034355965 804.0559159102155, 528.2842712474619 796.98484809835, 535.3553390593274 804.0559159102154, 528.2842712474619 811.1269837220809))"
56.0,1.0,"POLYGON ((535.3553390593274 804.0559159102154, 528.2842712474619 796.98484809835, 535.3553390593273 789.9137802864844, 542.4264068711927 796.9848480983499, 535.3553390593274 804.0559159102154))"
57.0,1.0,"POLYGON ((542.4264068711927 796.9848480983499, 535.3553390593273 789.9137802864844, 542.4264068711929 782.842712474619, 549.4974746830583 789.9137802864846, 542.4264068711927 796.9848480983499))"
58.0,1.0,"POLYGON ((549.4974746830583 789.9137802864846, 542.4264068711929 782.842712474619, 549.4974746830584 775.7716446627536, 556.5685424949238 782.842712474619, 549.4974746830583 789.9137802864846))"
59.0,1.0,"POLYGON ((556.5685424949238 782.842712474619, 549.4974746830584 775.7716446627536, 556.5685424949238 768.7005768508881, 563.6396103067893 775.7716446627535, 556.5685424949238 782.842712474619))"
60.0,1.0,"POLYGON ((563.6396103067893 775.7716446627535, 556.5685424949238 768.7005768508881, 563.6396103067892 761.6295090390225, 570.7106781186546 768.700576850888, 563.6396103067893 775.7716446627535))"
61.0,1.0,"POLYGON ((570.7106781186546 768.700576850888, 563.6396103067892 761.6295090390225, 570.7106781186548 754.5584412271571, 577.7817459305202 761.6295090390227, 570.7106781186546 768.700576850888))"
62.0,1.0,"POLYGON ((577.7817459305202 761.6295090390227, 570.7106781186548 754.5584412271571, 577.7817459305203 747.4873734152917, 584.8528137423857 754.5584412271571, 577.7817459305202 761.6295090390227))"
63.0,1.0,"POLYGON ((584.8528137423857 754.5584412271571, 577.7817459305203 747.4873734152917, 584.8528137423857 740.4163056034262, 591.9238815542512 747.4873734152916, 584.8528137423857 754.5584412271571))"
64.0,1.0,"POLYGON ((591.9238815542512 747.4873734152916, 584.8528137423857 740.4163056034262, 591.9238815542511 733.3452377915606, 598.9949493661165 740.416305603426, 591.9238815542512 747.4873734152916))"
65.0,1.0,"POLYGON ((598.9949493661165 740.416305603426, 591.9238815542511 733.3452377915606, 598.9949493661167 726.2741699796952, 606.0660171779821 733.3452377915607, 598.9949493661165 740.416305603426))"
66.0,1.0,"POLYGON ((606.0660171779821 733.3452377915607, 598.9949493661167 726.2741699796952, 606.0660171779822 719.2031021678298, 613.1370849898476 726.2741699796952, 606.0660171779821 733.3452377915607))"
67.0,1.0,"POLYGON ((613.1370849898476 726.2741699796952, 606.0660171779822 719.2031021678298, 613.1370849898476 712.1320343559643, 620.2081528017131 719.2031021678297, 613.1370849898476 726.2741699796952))"
68.0,1.0,"POLYGON ((620.2081528017131 719.2031021678297, 613.1370849898476 712.1320343559643, 620.208152801713 705.0609665440987, 627.2792206135784 712.1320343559642, 620.2081528017131 719.2031021678297))"
69.0,1.0,"POLYGON ((627.2792206135784 712.1320343559642, 620.208152801713 705.0609665440987, 627.2792206135786 697.9898987322333, 634.350288425444 705.0609665440988, 627.2792206135784 712.1320343559642))"
70.0,1.0,"POLYGON ((634.350288425444 705.0609665440988, 627.2792206135786 697.9898987322333, 634.3502884254441 690.9188309203679, 641.4213562373095 697.9898987322333, 634.350288425444 705.0609665440988))"
71.0,1.0,"POLYGON ((641.4213562373095 697.9898987322333, 634.3502884254441 690.9188309203679, 641.4213562373095 683.8477631085024, 648.492424049175 690.9188309203678, 641.4213562373095 697.9898987322333))"
72.0,1.0,"POLYGON ((648.492424049175 690.9188309203678, 641.4213562373095 683.8477631085024, 648.4924240491749 676.7766952966368, 655.5634918610403 683.8477631085022, 648.492424049175 690.9188309203678))"
73.0,1.0,"POLYGON ((655.5634918610403 683.8477631085022, 648.4924240491749 676.7766952966368, 655.5634918610405 669.7056274847714, 662.6345596729059 676.776695296637, 655.5634918610403 683.8477631085022))"
74.0,1.0,"POLYGON ((662.6345596729059 676.776695296637, 655.5634918610405 669.7056274847714, 662.634559672906 662.634559672906, 669.7056274847714 669.7056274847714, 662.6345596729059 676.776695296637))"
75.0,1.0,"POLYGON ((669.7056274847714 669.7056274847714, 662.634559672906 662.634559672906, 669.7056274847714 655.5634918610405, 676.776695296637 662.6345596729059, 669.7056274847714 669.7056274847714))"
76.0,1.0,"POLYGON ((676.776695296637 662.6345596729059, 669.7056274847714 655.5634918610405, 676.7766952966368 648.4924240491749, 683.8477631085022 655.5634918610403, 676.776695296637 662.6345596729059))"
77.0,1.0,"POLYGON ((683.8477631085022 655.5634918610403, 676.7766952966368 648.4924240491749, 683.8477631085024 641.4213562373095, 690.9188309203678 648.492424049175, 683.8477631085022 655.5634918610403))"
78.0,1.0,"POLYGON ((690.9188309203678 648.492424049175, 683.8477631085024 641.4213562373095, 690.9188309203679 634.3502884254441, 697.9898987322333 641.4213562373095, 690.9188309203678 648.492424049175))"
79.0,1.0,"POLYGON ((697.9898987322333 641.4213562373095, 690.9188309203679 634.3502884254441, 697.9898987322333 627.2792206135786, 705.0609665440988 634.350288425444, 697.9898987322333 641.4213562373095))"
80.0,1.0,"POLYGON ((705.0609665440988 634.350288425444, 697.9898987322333 627.2792206135786, 705.0609665440987 620.208152801713, 712.1320343559642 627.2792206135784, 705.0609665440988 634.350288425444))"
81.0,1.0,"POLYGON ((712.1320343559642 627.2792206135784, 705.0609665440987 620.208152801713, 712.1320343559643 613.1370849898476, 719.2031021678297 620.2081528017131, 712.1320343559642 627.2792206135784))"
82.0,1.0,"POLYGON ((719.2031021678297 620.2081528017131, 712.1320343559643 613.1370849898476, 719.2031021678298 606.0660171779822, 726.2741699796952 613.1370849898476, 719.2031021678297 620.2081528017131))"
83.0,1.0,"POLYGON ((726.2741699796952 613.1370849898476, 719.2031021678298 606.0660171779822, 726.2741699796952 598.9949493661167, 733.3452377915607 606.0660171779821, 726.2741699796952 613.1370849898476))"
84.0,1.0,"POLYGON ((733.3452377915607 606.0660171779821, 726.2741699796952 598.9949493661167, 733.3452377915606 591.9238815542511, 740.416305603426 598.9949493661165, 733.3452377915607 606.0660171779821))"
85.0,1.0,"POLYGON ((740.416305603426 598.9949493661165, 733.3452377915606 591.9238815542511, 740.4163056034262 584.8528137423857, 747.4873734152916 591.9238815542512, 740.416305603426 598.9949493661165))"
86.0,1.0,"POLYGON ((747.4873734152916 591.9238815542512, 740.4163056034262 584.8528137423857, 747.4873734152917 577.7817459305203, 754.5584412271571 584.8528137423857, 747.4873734152916 591.9238815542512))"
87.0,1.0,"POLYGON ((754.5584412271571 584.8528137423857, 747.4873734152917 577.7817459305203, 754.5584412271571 570.7106781186548, 761.6295090390227 577.7817459305202, 754.5584412271571 584.8528137423857))"
88.0,1.0,"POLYGON ((761.6295090390227 577.7817459305202, 754.5584412271571 570.7106781186548, 761.6295090390225 563.6396103067892, 768.700576850888 570.7106781186546, 761.6295090390227 577.7817459305202))"
89.0,1.0,"POLYGON ((768.700576850888 570.7106781186546, 761.6295090390225 563.6396103067892, 768.7005768508881 556.5685424949238, 775.7716446627535 563.6396103067893, 768.700576850888 570.7106781186546))"
90.0,1.0,"POLYGON ((775.7716446627535 563.6396103067893, 768.7005768508881 556.5685424949238, 775.7716446627536 549.4974746830584, 782.842712474619 556.5685424949238, 775.7716446627535 563.6396103067893))"
91.0,0.997548501309781,"POLYGON ((782.842712474619 556.5685424949238, 775.7716446627536 549.4974746830584, 782.842712474619 542.4264068711929, 789.9137802864846 549.4974746830583, 782.842712474619 556.5685424949238))"
92.0,0.9787501091819398,"POLYGON ((789.9137802864846 549.4974746830583, 782.842712474619 542.4264068711929, 789.9137802864844 535.3553390593273, 796.9848480983499 542.4264068711927, 789.9137802864846 549.4974746830583))"
93.0,0.964976784842499,"POLYGON ((796.9848480983499 542.4264068711927, 789.9137802864844 535.3553390593273, 796.98484809835 528.2842712474619, 804.0559159102154 535.3553390593274, 796.9848480983499 542.4264068711927))"
94.0,0.9577761892088975,"POLYGON ((804.0559159102154 535.3553390593274, 796.98484809835 528.2842712474619, 804.0559159102155 521.2132034355965, 811.1269837220809 528.2842712474619, 804.0559159102154 535.3553390593274))"
95.0,0.9900366074856286,"POLYGON ((811.1269837220809 528.2842712474619, 804.0559159102155 521.2132034355965, 811.1269837220809 514.142135623731, 818.1980515339465 521.2132034355964, 811.1269837220809 528.2842712474619))"
96.0,1.0,"POLYGON ((818.1980515339465 521.2132034355964, 811.1269837220809 514.142135623731, 818.1980515339463 507.0710678118654, 825.2691193458118 514.1421356237308, 818.1980515339465 521.2132034355964))"
97.0,1.0,"POLYGON ((825.2691193458118 514.1421356237308, 818.1980515339463 507.0710678118654, 825.2691193458119 500, 832.3401871576773 507.0710678118655, 825.2691193458118 514.1421356237308))"
98.0,1.0,"POLYGON ((832.3401871576773 507.0710678118655, 825.2691193458119 500, 832.3401871576774 492.9289321881345, 839.4112549695428 500, 832.3401871576773 507.0710678118655))"
99.0,1.0,"POLYGON ((839.4112549695428 500, 832.3401871576774 492.9289321881345, 839.4112549695428 485.85786437626905, 846.4823227814084 492.9289321881345, 839.4112549695428 500))"
100.0,1.0,"POLYGON ((485.85786437626905 839.4112549695428, 478.7867965644036 832.3401871576773, 485.85786437626905 825.269119345812, 492.9289321881345 832.3401871576774, 485.85786437626905 839.4112549695428))"
101.0,1.0,"POLYGON ((492.9289321881345 832.3401871576774, 485.85786437626905 825.269119345812, 492.9289321881345 818.1980515339465, 500 825.2691193458119, 492.9289321881345 832.3401871576774))"
102.0,1.0,"POLYGON ((500 825.2691193458119, 492.9289321881345 818.1980515339465, 499.99999999999994 811.1269837220809, 507.0710678118654 818.1980515339463, 500 825.2691193458119))"
103.0,1.0,"POLYGON ((507.0710678118654 818.1980515339463, 499.99999999999994 811.1269837220809, 507.0710678118655 804.0559159102154, 514.142135623731 811.1269837220809, 507.0710678118654 818.1980515339463))"
104.0,1.0,"POLYGON ((514.142135623731 811.1269837220809, 507.0710678118655 804.0559159102154, 514.1421356237311 796.9848480983501, 521.2132034355965 804.0559159102155, 514.142135623731 811.1269837220809))"
105.0,1.0,"POLYGON ((521.2132034355965 804.0559159102155, 514.1421356237311 796.9848480983501, 521.2132034355964 789.9137802864846, 528.2842712474619 796.98484809835, 521.2132034355965 804.0559159102155))"
106.0,1.0,"POLYGON ((528.2842712474619 796.98484809835, 521.2132034355964 789.9137802864846, 528.2842712474619 782.842712474619, 535.3553390593273 789.9137802864844, 528.2842712474619 796.98484809835))"
107.0,1.0,"POLYGON ((535.3553390593273 789.9137802864844, 528.2842712474619 782.842712474619, 535.3553390593274 775.7716446627535, 542.4264068711929 782.842712474619, 535.3553390593273 789.9137802864844))"
108.0,1.0,"POLYGON ((542.4264068711929 782.842712474619, 535.3553390593274 775.7716446627535, 542.426406871193 768.7005768508882, 549.4974746830584 775.7716446627536, 542.4264068711929 782.842712474619))"
109.0,1.0,"POLYGON ((549.4974746830584 775.7716446627536, 542.426406871193 768.7005768508882, 549.4974746830583 761.6295090390227, 556.5685424949238 768.7005768508881, 549.4974746830584 775.7716446627536))"
110.0,1.0,"POLYGON ((556.5685424949238 768.7005768508881, 549.4974746830583 761.6295090390227, 556.5685424949238 754.5584412271571, 563.6396103067892 761.6295090390225, 556.5685424949238 768.7005768508881))"
111.0,1.0,"POLYGON ((563.6396103067892 761.6295090390225, 556.5685424949238 754.5584412271571, 563.6396103067893 747.4873734152916, 570.7106781186548 754.5584412271571, 563.6396103067892 761.6295090390225))"
112.0,1.0,"POLYGON ((570.7106781186548 754.5584412271571, 563.6396103067893 747.4873734152916, 570.7106781186549 740.4163056034263, 577.7817459305203 747.4873734152917, 570.7106781186548 754.5584412271571))"
113.0,1.0,"POLYGON ((577.7817459305203 747.4873734152917, 570.7106781186549 740.4163056034263, 577.7817459305202 733.3452377915607, 584.8528137423857 740.4163056034262, 577.7817459305203 747.4873734152917))"
114.0,1.0,"POLYGON ((584.8528137423857 740.4163056034262, 577.7817459305202 733.3452377915607, 584.8528137423857 726.2741699796952, 591.9238815542511 733.3452377915606, 584.8528137423857 740.4163056034262))"
