id,depth,geometry
742.0,1.0,"POLYGON ((670.0000001745329 599.9999997032941, 670.0000001919863 609.9999997032941, 675 609.9999996945675, 675 599.9999996945675, 670.0000001745329 599.9999997032941))"
692.0,1.0,"POLYGON ((670.0000001919863 609.9999997032941, 670.0000002094396 619.9999997032941, 675 619.9999996945675, 675 609.9999996945675, 670.0000001919863 609.9999997032941))"
642.0,1.0,"POLYGON ((670.0000002094396 619.9999997032941, 670.0000002268929 629.9999997032941, 675 629.9999996945675, 675 619.9999996945675, 670.0000002094396 619.9999997032941))"
592.0,1.0,"POLYGON ((670.0000002268929 629.9999997032941, 670.0000002443461 639.9999997032941, 675 639.9999996945675, 675 629.9999996945675, 670.0000002268929 629.9999997032941))"
542.0,1.0,"POLYGON ((670.0000002443461 639.9999997032941, 670.0000002617994 649.9999997032941, 675 649.9999996945675, 675 639.9999996945675, 670.0000002443461 639.9999997032941))"
492.0,1.0,"POLYGON ((670.0000002617994 649.9999997032941, 670.0000002792527 659.9999997032941, 675 659.9999996945675, 675 649.9999996945675, 670.0000002617994 649.9999997032941))"
442.0,1.0,"POLYGON ((670.0000002792527 659.9999997032941, 670.000000296706 669.9999997032941, 675 669.9999996945675, 675 659.9999996945675, 670.0000002792527 659.9999997032941))"
392.0,1.0,"POLYGON ((670.000000296706 669.9999997032941, 670.0000003054328 675, 675 675, 675 669.9999996945675, 670.000000296706 669.9999997032941))"
1192.0,1.0,"POLYGON ((670.0000000174533 509.99999970329407, 670.0000000349066 519.9999997032941, 675 519.9999996945675, 675 509.9999996945674, 670.0000000174533 509.99999970329407))"
1142.0,1.0,"POLYGON ((670.0000000349066 519.9999997032941, 670.00000005236 529.9999997032941, 675 529.9999996945675, 675 519.9999996945675, 670.0000000349066 519.9999997032941))"
1092.0,1.0,"POLYGON ((670.00000005236 529.9999997032941, 670.0000000698133 539.9999997032941, 675 539.9999996945675, 675 529.9999996945675, 670.00000005236 529.9999997032941))"
1042.0,1.0,"POLYGON ((670.0000000698133 539.9999997032941, 670.0000000872665 549.9999997032941, 675 549.9999996945675, 675 539.9999996945675, 670.0000000698133 539.9999997032941))"
992.0,0.96822064957672,"POLYGON ((670.0000000872665 549.9999997032941, 670.0000001047198 559.9999997032941, 675 559.9999996945675, 675 549.9999996945675, 670.0000000872665 549.9999997032941))"
942.0,0.9715009638907756,"POLYGON ((670.0000001047198 559.9999997032941, 670.0000001221731 569.9999997032941, 675 569.9999996945675, 675 559.9999996945675, 670.0000001047198 559.9999997032941))"
892.0,1.0,"POLYGON ((670.0000001221731 569.9999997032941, 670.0000001396264 579.9999997032941, 675 579.9999996945675, 675 569.9999996945675, 670.0000001221731 569.9999997032941))"
842.0,1.0,"POLYGON ((670.0000001396264 579.9999997032941, 670.0000001570796 589.9999997032941, 675 589.9999996945675, 675 579.9999996945675, 670.0000001396264 579.9999997032941))"
792.0,1.0,"POLYGON ((670.0000001570796 589.9999997032941, 670.0000001745329 599.9999997032941, 675 599.9999996945675, 675 589.9999996945675, 670.0000001570796 589.9999997032941))"
1642.0,1.0,"POLYGON ((669.9999998603737 419.99999970329407, 669.999999877827 429.99999970329407, 675 429.9999996945674, 675 419.9999996945674, 669.9999998603737 419.99999970329407))"
1592.0,1.0,"POLYGON ((669.999999877827 429.99999970329407, 669.9999998952803 439.99999970329407, 675 439.9999996945674, 675 429.9999996945674, 669.999999877827 429.99999970329407))"
1542.0,1.0,"POLYGON ((669.9999998952803 439.99999970329407, 669.9999999127335 449.99999970329407, 675 449.9999996945674, 675 439.9999996945674, 669.9999998952803 439.99999970329407))"
1492.0,1.0,"POLYGON ((669.9999999127335 449.99999970329407, 669.9999999301868 459.99999970329407, 675 459.9999996945674, 675 449.9999996945674, 669.9999999127335 449.99999970329407))"
1442.0,1.0,"POLYGON ((669.9999999301868 459.99999970329407, 669.9999999476402 469.99999970329407, 675 469.9999996945674, 675 459.9999996945674, 669.9999999301868 459.99999970329407))"
1392.0,1.0,"POLYGON ((669.9999999476402 469.99999970329407, 669.9999999650935 479.99999970329407, 675 479.9999996945674, 675 469.9999996945674, 669.9999999476402 469.99999970329407))"
1342.0,1.0,"POLYGON ((669.9999999650935 479.99999970329407, 669.9999999825468 489.99999970329407, 675 489.9999996945674, 675 479.9999996945674, 669.9999999650935 479.99999970329407))"
1292.0,1.0,"POLYGON ((669.9999999825468 489.99999970329407, 670 499.99999970329407, 675 499.9999996945674, 675 489.9999996945674, 669.9999999825468 489.99999970329407))"
1242.0,1.0,"POLYGON ((670 499.99999970329407, 670.0000000174533 509.99999970329407, 675 509.9999996945674, 675 499.9999996945674, 670 499.99999970329407))"
2092.0,1.0,"POLYGON ((669.9999997032941 329.99999970329407, 669.9999997207474 339.99999970329407, 675 339.9999996945674, 675 329.9999996945674, 669.9999997032941 329.99999970329407))"
2042.0,1.0,"POLYGON ((669.9999997207474 339.99999970329407, 669.9999997382007 349.99999970329407, 675 349.9999996945674, 675 339.9999996945674, 669.9999997207474 339.99999970329407))"
1992.0,1.0,"POLYGON ((669.9999997382007 349.99999970329407, 669.9999997556539 359.99999970329407, 675 359.9999996945674, 675 349.9999996945674, 669.9999997382007 349.99999970329407))"
1942.0,1.0,"POLYGON ((669.9999997556539 359.99999970329407, 669.9999997731072 369.99999970329407, 675 369.9999996945674, 675 359.9999996945674, 669.9999997556539 359.99999970329407))"
1892.0,1.0,"POLYGON ((669.9999997731072 369.99999970329407, 669.9999997905605 379.99999970329407, 675 379.9999996945674, 675 369.9999996945674, 669.9999997731072 369.99999970329407))"
