id,depth,geometry
14.0,1.0,"POLYGON ((390.0000004363323 750.0000001919863, 390.000000418879 740.0000001919863, 400.000000418879 740.0000001745329, 400.0000004363323 750.0000001745329, 390.0000004363323 750.0000001919863))"
15.0,1.0,"POLYGON ((400.0000004363323 750.0000001745329, 400.000000418879 740.0000001745329, 410.000000418879 740.0000001570796, 410.0000004363323 750.0000001570796, 400.0000004363323 750.0000001745329))"
16.0,1.0,"POLYGON ((410.0000004363323 750.0000001570796, 410.000000418879 740.0000001570796, 420.000000418879 740.0000001396264, 420.0000004363323 750.0000001396264, 410.0000004363323 750.0000001570796))"
17.0,1.0,"POLYGON ((420.0000004363323 750.0000001396264, 420.000000418879 740.0000001396264, 430.000000418879 740.0000001221731, 430.0000004363323 750.0000001221731, 420.0000004363323 750.0000001396264))"
18.0,1.0,"POLYGON ((430.0000004363323 750.0000001221731, 430.000000418879 740.0000001221731, 440.000000418879 740.0000001047198, 440.0000004363323 750.0000001047198, 430.0000004363323 750.0000001221731))"
19.0,1.0,"POLYGON ((440.0000004363323 750.0000001047198, 440.000000418879 740.0000001047198, 450.000000418879 740.0000000872665, 450.0000004363323 750.0000000872665, 440.0000004363323 750.0000001047198))"
20.0,1.0,"POLYGON ((450.0000004363323 750.0000000872665, 450.000000418879 740.0000000872665, 460.000000418879 740.0000000698133, 460.0000004363323 750.0000000698133, 450.0000004363323 750.0000000872665))"
21.0,1.0,"POLYGON ((460.0000004363323 750.0000000698133, 460.000000418879 740.0000000698133, 470.000000418879 740.00000005236, 470.0000004363323 750.00000005236, 460.0000004363323 750.0000000698133))"
22.0,1.0,"POLYGON ((470.0000004363323 750.00000005236, 470.000000418879 740.00000005236, 480.000000418879 740.0000000349066, 480.0000004363323 750.0000000349066, 470.0000004363323 750.00000005236))"
23.0,1.0,"POLYGON ((480.0000004363323 750.0000000349066, 480.000000418879 740.0000000349066, 490.000000418879 740.0000000174533, 490.0000004363323 750.0000000174533, 480.0000004363323 750.0000000349066))"
24.0,1.0,"POLYGON ((490.0000004363323 750.0000000174533, 490.000000418879 740.0000000174533, 500.000000418879 740, 500.0000004363323 750, 490.0000004363323 750.0000000174533))"
25.0,1.0,"POLYGON ((500.0000004363323 750, 500.000000418879 740, 510.000000418879 739.9999999825468, 510.0000004363323 749.9999999825468, 500.0000004363323 750))"
26.0,1.0,"POLYGON ((510.0000004363323 749.9999999825468, 510.000000418879 739.9999999825468, 520.000000418879 739.9999999650935, 520.0000004363324 749.9999999650935, 510.0000004363323 749.9999999825468))"
27.0,1.0,"POLYGON ((520.0000004363324 749.9999999650935, 520.000000418879 739.9999999650935, 530.000000418879 739.9999999476402, 530.0000004363324 749.9999999476402, 520.0000004363324 749.9999999650935))"
28.0,1.0,"POLYGON ((530.0000004363324 749.9999999476402, 530.000000418879 739.9999999476402, 540.000000418879 739.9999999301868, 540.0000004363324 749.9999999301868, 530.0000004363324 749.9999999476402))"
29.0,1.0,"POLYGON ((540.0000004363324 749.9999999301868, 540.000000418879 739.9999999301868, 550.000000418879 739.9999999127335, 550.0000004363324 749.9999999127335, 540.0000004363324 749.9999999301868))"
30.0,1.0,"POLYGON ((550.0000004363324 749.9999999127335, 550.000000418879 739.9999999127335, 560.000000418879 739.9999998952803, 560.0000004363324 749.9999998952803, 550.0000004363324 749.9999999127335))"
31.0,1.0,"POLYGON ((560.0000004363324 749.9999998952803, 560.000000418879 739.9999998952803, 570.000000418879 739.999999877827, 570.0000004363324 749.999999877827, 560.0000004363324 749.9999998952803))"
32.0,1.0,"POLYGON ((570.0000004363324 749.999999877827, 570.000000418879 739.999999877827, 580.000000418879 739.9999998603737, 580.0000004363324 749.9999998603737, 570.0000004363324 749.999999877827))"
33.0,1.0,"POLYGON ((580.0000004363324 749.9999998603737, 580.000000418879 739.9999998603737, 590.000000418879 739.9999998429204, 590.0000004363324 749.9999998429204, 580.0000004363324 749.9999998603737))"
34.0,1.0,"POLYGON ((590.0000004363324 749.9999998429204, 590.000000418879 739.9999998429204, 600.000000418879 739.9999998254672, 600.0000004363324 749.9999998254672, 590.0000004363324 749.9999998429204))"
35.0,1.0,"POLYGON ((600.0000004363324 749.9999998254672, 600.000000418879 739.9999998254672, 610.000000418879 739.9999998080139, 610.0000004363324 749.9999998080139, 600.0000004363324 749.9999998254672))"
36.0,1.0,"POLYGON ((610.0000004363324 749.9999998080139, 610.000000418879 739.9999998080139, 620.000000418879 739.9999997905605, 620.0000004363324 749.9999997905605, 610.0000004363324 749.9999998080139))"
37.0,1.0,"POLYGON ((620.0000004363324 749.9999997905605, 620.000000418879 739.9999997905605, 630.000000418879 739.9999997731072, 630.0000004363324 749.9999997731072, 620.0000004363324 749.9999997905605))"
38.0,1.0,"POLYGON ((630.0000004363324 749.9999997731072, 630.000000418879 739.9999997731072, 640.000000418879 739.9999997556539, 640.0000004363324 749.9999997556539, 630.0000004363324 749.9999997731072))"
39.0,1.0,"POLYGON ((640.0000004363324 749.9999997556539, 640.000000418879 739.9999997556539, 650.000000418879 739.9999997382007, 650.0000004363324 749.9999997382007, 640.0000004363324 749.9999997556539))"
40.0,1.0,"POLYGON ((650.0000004363324 749.9999997382007, 650.000000418879 739.9999997382007, 660.000000418879 739.9999997207474, 660.0000004363324 749.9999997207474, 650.0000004363324 749.9999997382007))"
41.0,1.0,"POLYGON ((660.0000004363324 749.9999997207474, 660.000000418879 739.9999997207474, 670.000000418879 739.9999997032941, 670.0000004363324 749.9999997032941, 660.0000004363324 749.9999997207474))"
42.0,1.0,"POLYGON ((670.0000004363324 749.9999997032941, 670.000000418879 739.9999997032941, 680.000000418879 739.9999996858407, 680.0000004363324 749.9999996858407, 670.0000004363324 749.9999997032941))"
43.0,1.0,"POLYGON ((680.0000004363324 749.9999996858407, 680.000000418879 739.9999996858407, 690.000000418879 739.9999996683874, 690.0000004363324 749.9999996683874, 680.0000004363324 749.9999996858407))"
44.0,1.0,"POLYGON ((690.0000004363324 749.9999996683874, 690.000000418879 739.9999996683874, 700.000000418879 739.9999996509342, 700.0000004363324 749.9999996509342, 690.0000004363324 749.9999996683874))"
45.0,1.0,"POLYGON ((700.0000004363324 749.9999996509342, 700.000000418879 739.9999996509342, 710.000000418879 739.9999996334809, 710.0000004363324 749.9999996334809, 700.0000004363324 749.9999996509342))"
46.0,1.0,"POLYGON ((710.0000004363324 749.9999996334809, 710.000000418879 739.9999996334809, 720.000000418879 739.9999996160276, 720.0000004363324 749.9999996160276, 710.0000004363324 749.9999996334809))"
47.0,1.0,"POLYGON ((720.0000004363324 749.9999996160276, 720.000000418879 739.9999996160276, 730.000000418879 739.9999995985743, 730.0000004363324 749.9999995985743, 720.0000004363324 749.9999996160276))"
48.0,1.0,"POLYGON ((730.0000004363324 749.9999995985743, 730.000000418879 739.9999995985743, 740.000000418879 739.9999995811211, 740.0000004363324 749.9999995811211, 730.0000004363324 749.9999995985743))"
