,Peaks,q1,,,,,,,
5-year,180.31,,,,,,,,
10-year,211.75,,,,,,,,
20-year,241.91,,,,,,,,
50-year,280.95,,,,,,,,
Jan-05,,4.687,,,,,,,
1000-year,406.88,,,,,,,,
,,,,,,,,,
,,,,Jan-05,5-year,10-year,20-year,50-year,1000-year
,,,max check,381.167,180.31,211.75,241.91,280.95,406.88
,,,max,381.167,180.31,211.75,241.91,280.95,406.88
,,,q1,4.687,,,,,
,,DateTime,,,,,,,
,,1/05/2005 4:25,,6.495,5.530408372,5.681395198,5.826234977,6.01371989,6.618483595
,,1/05/2005 4:30,,6.581,5.570526248,5.728694969,5.880424251,6.076827141,6.710357262
,,1/05/2005 4:35,,6.602,5.580322474,5.740244913,5.893656516,6.092237051,6.732791529
,,1/05/2005 4:40,,6.624,5.590585186,5.752344855,5.907518888,6.108380767,6.756294095
,,1/05/2005 4:45,,6.733,5.641432262,5.812294565,5.976200643,6.188365539,6.872738626
,,1/05/2005 4:50,,6.776,5.6614912,5.835944451,6.00329528,6.219919164,6.91867546
,,1/05/2005 4:55,,6.82,5.682016625,5.860144334,6.031020025,6.252206595,6.965680591
,,1/05/2005 5:00,,6.864,5.70254205,5.884344217,6.05874477,6.284494026,7.012685723
,,1/05/2005 5:05,,6.931,5.733796674,5.92119404,6.100961995,6.333658978,7.084261719
,,1/05/2005 5:10,,6.931,5.733796674,5.92119404,6.100961995,6.333658978,7.084261719
,,1/05/2005 5:15,,7.02,5.775314011,5.970143803,6.157041593,6.398967645,7.179340281
,,1/05/2005 5:20,,7.043,5.786043211,5.982793742,6.171534074,6.415845166,7.203911145
,,1/05/2005 5:25,,7.065,5.796305923,5.994893684,6.185396446,6.431988881,7.227413711
,,1/05/2005 5:30,,7.178,5.849018947,6.057043383,6.256598632,6.514908874,7.348131436
,,1/05/2005 5:35,,7.224,5.870477345,6.082343261,6.285583593,6.548663916,7.397273165
,,1/05/2005 5:40,,7.269,5.891469257,6.107093142,6.313938446,6.581685152,7.445346595
,,1/05/2005 5:45,,7.315,5.912927656,6.13239302,6.342923406,6.615440193,7.494488323
,,1/05/2005 5:50,,7.361,5.934386055,6.157692897,6.371908367,6.649195235,7.543630052
,,1/05/2005 5:55,,7.408,5.956310941,6.183542773,6.401523436,6.683684081,7.593840079
,,1/05/2005 6:00,,7.501,5.999694225,6.234692525,6.460123465,6.75192797,7.693191835
,,1/05/2005 6:05,,7.571,6.032348311,6.27319234,6.504231014,6.803294337,7.767972726
,,1/05/2005 6:10,,7.571,6.032348311,6.27319234,6.504231014,6.803294337,7.767972726
,,1/05/2005 6:15,,7.594,6.04307751,6.285842278,6.518723494,6.820171858,7.792543591
,,1/05/2005 6:20,,7.692,6.088793229,6.339742018,6.580474062,6.892084772,7.897236839
,,1/05/2005 6:25,,7.746,6.113983524,6.369441875,6.614499886,6.931710256,7.954924955
,,1/05/2005 6:30,,7.801,6.139640305,6.399691729,6.649155817,6.972069544,8.01368137
,,1/05/2005 6:35,,7.883,6.177892233,6.444791511,6.70082466,7.032241575,8.101281842
,,1/05/2005 6:40,,7.995,6.23013877,6.506391213,6.771396738,7.114427762,8.220931269
,,1/05/2005 6:45,,8.052,6.256728525,6.537741062,6.807312885,7.156254662,8.28182428
,,1/05/2005 6:50,,8.081,6.270256646,6.553690985,6.825586013,7.177535014,8.312804935
,,1/05/2005 6:55,,8.138,6.296846401,6.585040834,6.861502159,7.219361913,8.373697947
,,1/05/2005 7:00,,8.196,6.323902643,6.616940679,6.898048414,7.261922617,8.435659257
,,1/05/2005 7:05,,8.343,6.392476222,6.697790289,6.990674267,7.369791989,8.592699129
,,1/05/2005 7:10,,8.433,6.434460046,6.74729005,7.047383973,7.435834461,8.688845989
,,1/05/2005 7:15,,8.463,6.448454654,6.76378997,7.066287208,7.457848619,8.720894943
,,1/05/2005 7:20,,8.463,6.448454654,6.76378997,7.066287208,7.457848619,8.720894943
,,1/05/2005 7:25,,8.523,6.47644387,6.796789811,7.104093678,7.501876934,8.78499285
,,1/05/2005 7:30,,8.523,6.47644387,6.796789811,7.104093678,7.501876934,8.78499285
,,1/05/2005 7:35,,8.493,6.462449262,6.780289891,7.085190443,7.479862776,8.752943896
,,1/05/2005 7:40,,8.433,6.434460046,6.74729005,7.047383973,7.435834461,8.688845989
,,1/05/2005 7:45,,8.523,6.47644387,6.796789811,7.104093678,7.501876934,8.78499285
,,1/05/2005 7:50,,8.463,6.448454654,6.76378997,7.066287208,7.457848619,8.720894943
,,1/05/2005 7:55,,8.463,6.448454654,6.76378997,7.066287208,7.457848619,8.720894943
,,1/05/2005 8:00,,8.493,6.462449262,6.780289891,7.085190443,7.479862776,8.752943896
,,1/05/2005 8:05,,8.403,6.420465438,6.73079013,7.028480737,7.413820304,8.656797036
,,1/05/2005 8:10,,8.403,6.420465438,6.73079013,7.028480737,7.413820304,8.656797036
